Birth City,Number of Games,Total Points,Three Points,Field Goals,Total Rebounds
Lompoc,586,7.0,0.305,0.40700000000000003,1030.0
Long Beach,3400,4.707142857142857,0.24964285714285714,0.422,789.2142857142857
Long Branch,164,8.0,0.326,0.442,358.0
Long Island,47,2.45,0.308,0.405,29.0
Long Lake,283,3.8,0.353,0.485,1085.0
Longview,30,1.3,0.0,0.42200000000000004,22.0
Los Alamos,5,0.8,,0.25,1.0
Los Angeles,22046,6.366233766233769,0.2574264705882352,0.3954025974025973,1051.8311688311687
Los Gatos,56,4.9,0.396,0.415,65.0
Louisville,5868,7.583333333333333,0.2700625,0.4477777777777777,1691.111111111111
Lubbock,1551,8.933333333333332,0.2945,0.45966666666666667,2151.6666666666665
Lynn,1,2.0,,0.33299999999999996,1.0
Macon,974,9.033333333333333,0.1885,0.4463333333333333,1005.3333333333334
Madison,1078,5.775,0.18875,0.40725,786.25
Madison County,340,4.4,0.0,0.46399999999999997,1200.0
Malvern,430,7.5,0.353,0.41100000000000003,958.0
Mamou,606,6.5,0.363,0.39299999999999996,1364.0
Marietta,2369,11.28,0.33525,0.4606,2279.4
Marion,1958,6.4750000000000005,0.26666666666666666,0.395,3018.75
Martinsville,598,6.9,0.271,0.507,817.0
Maui,609,14.3,0.309,0.5,3258.0
Mauldin,1462,17.8,0.275,0.49700000000000005,14662.0
Maysville,102,8.2,0.35100000000000003,0.42,131.0
Maywood,1225,5.066666666666666,0.13633333333333333,0.415,1810.3333333333333
McComb,69,5.0,,0.539,205.0
McGehee,2025,4.35,0.061500000000000006,0.477,6969.0
McGhee,374,4.4,0.111,0.49,1323.0
McKees Rocks,4,2.3,0.33299999999999996,0.667,3.0
McMinnville,43,2.1,0.0,0.415,60.0
Mechanicsburg,69,3.5,0.385,0.35200000000000004,63.0
Melbourne,792,4.7,0.067,0.515,3918.0
Melrose,946,9.4,0.122,0.49200000000000005,5033.0
Melrose Park,1930,15.85,0.34950000000000003,0.4485,4413.0
Memphis,7377,5.793103448275862,0.23235714285714285,0.4414827586206897,826.2068965517242
Menifee,78,4.2,0.34,0.40700000000000003,80.0
Merced,2221,8.9,0.3893333333333333,0.409,2575.3333333333335
Meriden,85,2.1,0.0,0.36350000000000005,65.0
Meridian,1111,8.066666666666666,0.3375,0.42166666666666663,1632.0
Mesa,19,2.8,0.444,0.442,28.0
Mexico,554,8.5,0.391,0.43700000000000006,943.0
Miami,1853,5.516666666666666,0.22080000000000002,0.39033333333333337,1902.6666666666667
Middletown,851,4.075,0.15866666666666665,0.30125,578.75
Midlothian,27,1.6,,0.514,33.0
Milan,984,7.9,0.146,0.457,6095.0
Millersville,565,7.0,0.2,0.467,1759.0
Millington,55,8.0,0.25,0.42,286.0
Millstone Township,2,0.0,,,0.0
Milton,197,3.5,0.1475,0.4155,151.5
Milwaukee,6763,5.844444444444444,0.2984375,0.4081111111111111,1209.2777777777778
Minden,582,7.7,0.3,0.42,3417.0
Minneapolis,2573,4.169230769230769,0.20389999999999997,0.39615384615384613,607.1538461538462
Minot,437,5.6,0.0,0.48100000000000004,2681.0
Missoula,420,8.2,0.139,0.457,2051.0
Missouri City,11,1.4,0.0,0.385,11.0
Mitchell,1016,10.6,0.40700000000000003,0.45899999999999996,4342.0
Mobile,3151,8.549999999999999,0.15614285714285714,0.44062500000000004,2160.5
Monaca,961,8.2,0.321,0.51,1738.0
Monroe,3482,9.200000000000001,0.207,0.4825714285714286,2856.714285714286
Monrovia,644,3.6,0.115,0.47100000000000003,2690.0
Monterey,103,3.2,0.311,0.358,180.0
Montgomery,710,5.6000000000000005,0.2048,0.4543333333333333,569.1666666666666
Monticello,1353,4.65,0.0,0.522,3586.5
Montross,82,3.7,0.28,0.39399999999999996,233.0
Moreno Valley,24,1.8,0.462,0.415,25.0
Morgan City,59,3.5,0.2,0.365,64.0
Morgantown,82,1.3,0.0,0.508,191.0
Morristown,907,7.5,0.294,0.46199999999999997,3088.0
Morrisville,353,4.8,0.133,0.467,1692.0
Moses Lake,169,4.0,0.20800000000000002,0.44299999999999995,218.0
Mount Airy,256,5.2,,0.544,1258.0
Mount Kisco,13,1.4,,0.615,11.0
Mount Vernon,3098,8.299999999999999,0.25133333333333335,0.44199999999999995,1348.4444444444443
Mullens,180,3.3,0.0,0.414,262.0
Muncie,1476,6.4399999999999995,0.1726,0.42000000000000004,823.6
Murfreesboro,13,1.3,0.231,0.25,1.0
Murray,506,4.4,0.0,0.494,2351.0
Nachitoches,691,20.1,0.152,0.518,4817.0
Nansemond County,13,4.6,0.133,0.32899999999999996,15.0
Naperville,494,9.1,0.40399999999999997,0.444,1574.0
Nashville,830,6.0,0.145,0.4303333333333334,387.3333333333333
Nederland,781,5.4,0.0,0.53,4531.0
Neenah,25,1.2,0.25,0.23399999999999999,12.0
Neptune,429,3.95,0.14800000000000002,0.46349999999999997,703.5
New Albany,9,2.8,,0.324,13.0
New Brighton,7,1.7,1.0,0.444,1.0
New Britain,1,4.0,1.0,1.0,0.0
New Canaan,23,1.3,,0.36700000000000005,46.0
New Castle,680,9.1,0.20600000000000002,0.493,3881.0
New Haven,1270,9.02,0.227,0.4204,794.2
New Knoxville,153,2.8,,0.46299999999999997,601.0
New London,38,11.3,0.294,0.38,82.0
New Orleans,7346,6.915789473684211,0.28506666666666663,0.42757894736842106,1435.842105263158
New Ulm,656,5.9,0.361,0.44,1869.0
New York,15050,8.046153846153844,0.1945882352941177,0.4349743589743591,1870.8461538461538
Newark,3843,8.5875,0.21400000000000002,0.487875,2909.75
Newberry,1069,8.15,0.1505,0.47450000000000003,1883.5
Newman,7,4.4,,0.48100000000000004,27.0
Newport,766,17.6,0.071,0.46,10444.0
Newport News,33,1.9,0.5,0.35600000000000004,29.0
Newton Grove,103,6.7,0.38299999999999995,0.423,311.0
Niagara Falls,163,9.2,0.33799999999999997,0.4,307.0
Niles,321,3.8,0.396,0.397,396.0
Norcross,429,6.4,0.373,0.42100000000000004,924.0
Norfolk,1030,10.9,0.23800000000000002,0.455,6575.0
North Babylon,422,10.3,0.405,0.429,1433.0
Northridge,1277,3.75,0.10300000000000001,0.43300000000000005,2142.5
Norwalk,1002,17.9,0.139,0.48200000000000004,2103.0
Oak Hill,14,0.9,,0.385,10.0
Oak Park,405,6.0,0.42100000000000004,0.42600000000000005,743.5
Oakland,8585,8.555555555555555,0.2825,0.43366666666666664,2056.1111111111113
Ocala,1126,8.175,0.17200000000000001,0.4445,870.5
Ogden,2180,16.1,0.3385,0.475,4845.0
Ogdensburg,188,2.2,0.22899999999999998,0.42200000000000004,141.0
Oklahoma City,3227,7.19,0.15009999999999998,0.46559999999999996,1407.5
Omaha,768,3.25,0.23199999999999998,0.43675,341.75
Ontario,237,2.9,0.4,0.5529999999999999,632.0
Opelika,501,7.5,0.35100000000000003,0.392,1317.0
Orange,1635,7.375,0.3825,0.44275,1568.0
Orange City,884,5.9,0.21,0.532,4661.0
Orangeburg,601,3.8499999999999996,0.154,0.5055000000000001,1128.0
Orefield,8,1.0,,0.222,11.0
Orlando,1569,8.766666666666666,0.268,0.4586666666666667,1971.0
Osecola,4,3.8,0.0,0.33299999999999996,5.0
Oskaloosa,90,2.1,0.0,0.494,127.0
Overland Park,42,3.2,0.22399999999999998,0.293,85.0
Owensboro,216,6.8,0.145,0.441,391.0
Pahokee,24,5.0,0.3,0.408,20.0
Palo Alto,815,8.633333333333333,0.3416666666666666,0.4346666666666667,806.6666666666666
Palos Verdes,598,6.0,0.282,0.444,2572.0
Panama City,305,9.7,0.16699999999999998,0.486,1402.0
Paris,4,2.8,1.0,0.4,4.0
Park Forest,695,8.5,0.4,0.461,937.0
Parkersburg,802,16.3,0.35600000000000004,0.444,2520.0
Parsons,166,5.2,0.3,0.457,436.0
Pasadena,2255,7.666666666666667,0.17066666666666666,0.4943333333333333,2463.0
Pascagoula,367,3.6999999999999997,0.22599999999999998,0.40900000000000003,182.0
Paterson,846,4.7,0.1845,0.2836666666666667,1141.3333333333333
Paw Paw,27,2.5,0.125,0.45299999999999996,41.0
Pearl,104,6.9,0.34600000000000003,0.402,216.0
Peekskill,292,3.0,0.28600000000000003,0.501,766.0
Pensacola,841,2.8666666666666667,0.030333333333333334,0.38233333333333336,1925.3333333333333
Peoria,373,3.54,0.2022,0.39480000000000004,135.6
Perry,326,7.1,0.293,0.4195,637.5
Perth Amboy,41,2.9,,0.369,33.0
Petersburg,2545,13.15,0.048,0.5375,11590.5
Philadelphia,20796,6.979310344827584,0.24864814814814817,0.41993103448275854,1382.1724137931035
Phoenix,2308,6.166666666666667,0.21819999999999995,0.45766666666666667,944.6666666666666
Picayune,262,5.5,0.34,0.41700000000000004,582.0
Pine Bluff,1453,8.433333333333334,0.19433333333333333,0.4306666666666666,2974.0
Pineville,2206,10.075,0.31833333333333336,0.41225,2181.5
Pitman,21,3.8,0.385,0.382,11.0
Pittsburg,564,2.75,0.257,0.428,909.0
Pittsburgh,3223,6.955555555555555,0.192,0.4486666666666667,2231.3333333333335
Plainfield,336,6.95,0.32499999999999996,0.40099999999999997,486.5
Plainsboro,418,11.5,0.111,0.556,3221.0
Pleasant Grove,1,0.0,,,0.0
Plummerville,12,1.4,,0.28,22.0
Pocatello,12,1.2,0.0,0.25,4.0
Pompano Beach,954,14.8,0.373,0.43700000000000006,3857.0
Pontiac,183,3.0,0.23299999999999998,0.37,106.5
Poplar Bluff,456,4.35,0.1985,0.386,913.0
Port Arthur,36,4.4,0.389,0.45,75.0
Portage,670,9.5,,0.452,3431.0
Portland,5404,7.130769230769231,0.29458333333333336,0.40430769230769237,1722.8461538461538
Portsmouth,23,2.0,,0.5429999999999999,34.0
Postville,70,2.2,0.0,0.446,165.0
Prescott,1254,9.4,,0.43200000000000005,12357.0
Prince George,205,7.8,0.366,0.456,493.0
Providence,28,3.9,0.371,0.336,38.0
Provo,922,5.1000000000000005,0.20833333333333334,0.42333333333333334,836.6666666666666
Pullman,138,3.4,0.326,0.414,224.0
Queens,3118,6.363636363636363,0.3361111111111111,0.3784545454545454,813.6363636363636
Queens Village,541,4.9,0.28600000000000003,0.507,2273.0
Queensbridge,977,13.2,0.34,0.415,4435.0
Quincy,43,1.8,0.079,0.306,19.0
Quitman,1015,12.0,0.11699999999999999,0.49700000000000005,7638.0
Racine,2071,7.275,0.14933333333333332,0.4526666666666667,3014.25
Raeford,267,4.3,0.35,0.392,348.0
Raleigh,2564,4.383333333333334,0.17516666666666666,0.3905,1820.5
Rancho Cucamonga,514,12.5,0.374,0.46799999999999997,1362.0
Randolph,203,3.2,0.0,0.509,679.0
Rayville,1303,21.0,0.147,0.452,16279.0
Reading,957,11.2,0.35,0.435,6376.0
Reseda,10,1.2,,0.526,5.0
Reynoldsburg,366,3.3,0.222,0.451,1010.0
Rice Lake,8,6.0,0.375,0.364,8.0
Richland,25,1.6,,0.409,29.0
Richmond,3368,7.2124999999999995,0.2335714285714286,0.442625,1623.25
Ritter,475,7.3,0.125,0.44,3584.0
River Edge,1124,8.5,0.0,0.49700000000000005,8959.0
River Rouge,54,2.6,,0.391,212.0
Riverside,2792,5.7250000000000005,0.2541428571428571,0.4188750000000001,1109.75
Riviera Beach,420,5.3,0.325,0.5295,682.5
Roanoke,889,6.4,0.35850000000000004,0.43,2012.0
Robbinsdale,33,1.5,,0.55,36.0
Roberta,448,7.0,0.20600000000000002,0.485,1793.0
Rochester,699,3.8999999999999995,0.2234,0.4505714285714286,257.85714285714283
Rockaway,650,16.2,0.363,0.475,1688.0
Rockford,112,5.8999999999999995,0.33799999999999997,0.5886666666666667,55.666666666666664
Rockville,138,6.4,0.1395,0.4295,131.0
Rockville Centre,44,2.4,0.0,0.40399999999999997,25.0
Rocky Mount,2141,10.0,0.12566666666666668,0.47300000000000003,5151.666666666667
Rolling Fork,883,6.7,0.0,0.531,8125.0
Rome,593,7.6,0.28600000000000003,0.542,710.0
Romulus,1571,12.1,0.353,0.462,3086.0
Roosevelt,1243,22.0,0.298,0.506,10525.0
Rosemead,11,2.5,,0.379,16.0
Rosenberg,50,2.3,,0.45,89.0
Roslindale,5,1.2,,0.429,6.0
Roswell,63,2.8,0.152,0.369,105.0
Roxbury,125,9.4,0.344,0.36200000000000004,180.0
Royal Oak,143,6.7,0.32899999999999996,0.462,160.0
Russellville,984,5.8999999999999995,0.1515,0.43533333333333335,1136.0
Sacramento,2199,7.12,0.15733333333333333,0.43879999999999997,2637.0
Saginaw,2407,6.914285714285714,0.24,0.38471428571428573,1572.7142857142858
Salem,619,5.75,0.28049999999999997,0.436,1636.5
Salida,349,4.0,0.33799999999999997,0.46799999999999997,499.0
Salt Lake City,1916,3.7874999999999996,0.22314285714285714,0.39549999999999996,659.625
San Antonio,3957,5.9818181818181815,0.21280000000000002,0.4154545454545456,1486.5454545454545
San Bernardino,924,4.133333333333334,0.2845,0.4256666666666667,1040.3333333333333
San Diego,3269,5.069999999999999,0.16440000000000002,0.4324,1149.5
San Francisco,3348,6.188888888888889,0.3931666666666666,0.46377777777777784,1967.888888888889
San Jose,674,5.1,0.15740000000000004,0.41983333333333334,323.6666666666667
San Leandro,644,3.7,0.0,0.498,3243.0
San Mateo,882,5.449999999999999,0.0,0.4355,2959.0
San Pedro,1507,9.85,0.25249999999999995,0.4285,2833.5
Sandersville,306,5.050000000000001,0.113,0.416,391.0
Sandusky,355,10.4,0.0,0.462,1450.0
Sanford,4,1.8,,0.429,4.0
Santa Barbara,474,6.4,0.14300000000000002,0.46399999999999997,1691.0
Santa Clara,880,8.2,0.33399999999999996,0.43799999999999994,4016.0
Santa Cruz,193,3.35,0.361,0.3645,94.0
Santa Monica,84,4.2,0.24600000000000002,0.386,85.0
Sarasota,465,7.9,0.225,0.478,626.0
Savannah,615,4.8500000000000005,0.27675,0.5660000000000001,856.5
Scarsdale,4,1.3,0.0,0.33299999999999996,2.0
Schenectady,92,2.6,0.0,0.44999999999999996,94.5
Scooba,201,5.0,0.111,0.493,758.0
Seattle,9094,8.135,0.299,0.4166,1587.4
Sedalia,134,1.5,1.0,0.39399999999999996,354.0
Shallotte,75,2.2,,0.409,141.0
Sharps,142,3.0,0.182,0.40399999999999997,272.0
Shawnee,418,5.9,0.387,0.426,684.0
Shelby,1072,13.600000000000001,0.255,0.505,2548.0
Shellman,205,5.6,0.1,0.46,827.0
Shreveport,4865,9.775000000000002,0.24637500000000004,0.4325,3698.5
Silver City,968,11.15,0.0265,0.4385,4397.5
Silver Spring,1033,9.799999999999999,0.30433333333333334,0.4343333333333333,1397.3333333333333
Sioux City,879,10.9,0.375,0.41100000000000003,2576.0
Sioux Falls,502,7.7,0.392,0.452,554.0
Slayton,1,0.0,,,3.0
Smyrna,154,8.9,0.21,0.43200000000000005,533.0
Snohomish,150,2.1,0.0,0.488,472.0
Somerville,601,6.25,0.17149999999999999,0.4225,673.5
Sorrento,887,11.0,0.105,0.48,5998.0
South Bend,707,4.220000000000001,0.0645,0.404,414.4
South Boston,9,4.7,0.0,0.4,13.0
South Gate,291,5.9,0.21100000000000002,0.46399999999999997,385.0
Southampton,658,6.4,0.22699999999999998,0.435,1686.0
Southfield,424,3.65,0.28150000000000003,0.375,591.5
Southhampton,42,3.4,0.0,0.45799999999999996,65.0
Spearville,91,11.9,0.0,0.564,408.0
Spokane,2613,6.0,0.35950000000000004,0.437,1849.75
Springfield,3613,7.242857142857145,0.2934285714285715,0.47057142857142864,1505.4285714285713
St. Charles,75,3.5,0.34700000000000003,0.43799999999999994,227.0
St. Cloud,79,5.5,0.261,0.426,183.0
St. Joseph,39,1.3,,0.41200000000000003,76.0
St. Louis,3580,7.576923076923076,0.21124999999999997,0.4235384615384615,1543.923076923077
St. Paul,243,5.4,0.36700000000000005,0.414,317.0
Stamford,886,3.9,0.0,0.41200000000000003,5457.0
Starkville,622,8.5,0.337,0.423,1974.0
Staten Island,221,4.0,0.172,0.51,769.0
Sterling Heights,1,2.0,,0.0,0.0
Steubenville,789,7.5,0.39899999999999997,0.434,1716.0
Stevenson,23,4.2,,0.47600000000000003,81.0
Stillwater,195,1.8,,0.41100000000000003,386.0
Stockton,589,7.5,0.0,0.4575,1671.0
Stone Mountain,63,3.7,0.257,0.436,105.0
Suffolk,836,9.0,0.26,0.466,1755.0
Summerfield,1476,25.0,0.27399999999999997,0.516,14968.0
Summit,604,5.1,0.125,0.44799999999999995,2717.0
Sumter,584,4.3,0.381,0.441,1935.0
Sunnyside,47,2.1,0.0,0.37799999999999995,81.0
Sussex,683,6.2,0.091,0.47,2964.0
Swainsboro,3,2.0,0.0,0.6,1.0
Sylacauga,832,11.9,0.312,0.469,4838.0
Syracuse,1173,4.28,0.29375,0.414,812.4
Tacoma,541,5.666666666666667,0.25933333333333336,0.4643333333333333,457.6666666666667
Tallulah,1371,10.3,0.125,0.502,2499.5
Tampa,747,4.575,0.1885,0.4115,512.5
Tarboro,816,12.4,0.37049999999999994,0.5505,827.5
Tarzana,318,3.4,0.0,0.509,1190.0
Tavares,65,5.4,0.284,0.441,108.0
Teaneck,1623,10.933333333333332,0.25266666666666665,0.4386666666666667,2796.0
Tempe,28,2.6,0.23800000000000002,0.34700000000000003,39.0
Temple,608,4.7,0.33299999999999996,0.494,2841.0
Terre Haute,53,2.15,0.065,0.20149999999999998,27.5
Texas City,782,15.2,0.225,0.466,4117.0
The Colony,26,5.0,0.324,0.405,39.0
Thibodaux,230,5.5,0.24600000000000002,0.442,697.0
Thomaston,270,6.7,0.335,0.704,401.0
Thomasville,630,6.3,0.364,0.408,1648.0
Thomson,199,6.9,0.321,0.38299999999999995,373.0
Thornton,142,6.0,,0.45399999999999996,395.0
Tipton,77,1.0,0.16699999999999998,0.402,169.0
Toccoa,1094,8.0,0.0,0.53,8605.0
Toledo,2842,8.2125,0.20800000000000005,0.44457142857142856,1384.75
Tolono,456,4.6,0.37200000000000005,0.408,1050.0
Toms River,27,1.3,0.0,0.33299999999999996,23.0
Torrance,1011,7.433333333333334,0.16733333333333333,0.37399999999999994,721.0
Torrington,43,4.6,,0.507,156.0
Traverse City,955,11.4,0.358,0.431,4265.0
Trenton,2799,5.985714285714286,0.21514285714285716,0.4441428571428571,2530.285714285714
Tripp,46,1.2,,0.342,109.0
Trotwood,32,3.7,0.0,0.55,65.0
Tucson,901,7.3,0.2843333333333333,0.4326666666666667,1144.0
Tulare,7,1.4,1.0,0.182,6.0
Tulsa,3434,6.26,0.19319999999999998,0.40429999999999994,1136.3
Tuscaloosa,13,1.6,0.5,0.409,7.0
Tuskegee,405,4.566666666666666,0.1385,0.5163333333333334,339.6666666666667
Twiggs,39,2.4,0.25,0.36700000000000005,37.0
Tyler,1227,12.899999999999999,0.34299999999999997,0.48550000000000004,3206.0
Tylertown,904,4.8,0.5,0.451,5887.0
Union,784,7.4,0.0,0.524,6953.0
Uniontown,446,5.7,0.273,0.43799999999999994,1811.0
Upland,10,3.2,,0.5,24.0
Utica,1036,6.45,0.6799999999999999,0.40299999999999997,1086.0
Valdosta,49,4.6,0.222,0.45899999999999996,41.0
Valhalla,418,8.5,0.179,0.43200000000000005,592.0
Vallejo,149,4.0,0.0,0.617,489.0
Valparaiso,98,3.9,0.34299999999999997,0.418,266.0
Ventura,428,3.7,0.0,0.474,1541.0
Vero Beach,40,1.4,,0.35600000000000004,53.0
Vidalia,648,8.0,0.221,0.48200000000000004,1927.0
Virginia Beach,680,5.2,0.135,0.382,1699.0
Visalia,313,7.7,0.0,0.498,1441.0
Vredenburgh,739,20.7,0.175,0.47,5088.0
Wagram,140,5.2,0.27399999999999997,0.371,381.0
Wallace,678,9.7,0.275,0.47200000000000003,3054.0
Walnut Creek,690,5.050000000000001,0.1535,0.4585,831.0
Warren,185,2.2333333333333334,0.273,0.38000000000000006,128.33333333333334
Warrensville Heights,398,6.3,0.2,0.452,1064.0
Warrenton,2,0.0,,,3.0
Washington,14930,6.299999999999998,0.1897777777777778,0.45429999999999976,1172.68
Waterbury,487,10.1,0.349,0.445,2239.0
Waterloo,22,2.6,0.0,0.33299999999999996,22.0
Watonga,214,3.9,0.256,0.456,648.0
Waukegan,2860,8.75,0.13133333333333333,0.4835,4002.0
Wauwatosa,462,3.45,0.237,0.3225,371.0
Waxahachie,643,12.1,0.26,0.449,2863.0
Wayne,1003,9.5,0.28300000000000003,0.467,6154.0
Waynesboro,307,5.5,0.354,0.389,481.0
Webster,5,2.5,0.667,0.41700000000000004,10.0
Weirsdale,596,8.3,0.218,0.439,1025.0
West Baden,897,24.3,0.376,0.496,8974.0
West Chester,18,1.7,,0.462,16.0
West Covina,815,5.35,0.18,0.43700000000000006,1507.5
West Lafayette,3,1.9,,1.0,6.0
West Memphis,1532,5.824999999999999,0.19574999999999998,0.453,2482.75
West Monroe,17,3.0,0.16699999999999998,0.322,22.0
West Palm Beach,266,6.3,0.386,0.40700000000000003,359.0
West Warwick,251,5.4,0.083,0.469,501.0
Westminster,875,6.0,0.0,0.45799999999999996,6939.0
Wheeling,39,1.1,,0.28300000000000003,45.0
White Hall,1088,5.7,0.13699999999999998,0.474,10482.0
White Plains,747,3.6,0.39,0.439,3579.0
Whiteville,179,4.0,0.0,0.449,452.0
Wichita,1516,4.275,0.306,0.46175,979.5
Wichita Falls,1,0.0,,,0.0
Wilkes-Barre,657,8.6,0.325,0.414,2240.0
Williamsburg County,64,1.6,,0.387,106.0
Willingboro,478,4.9,0.188,0.439,1353.0
Wilmington,1708,5.5875,0.1525,0.449125,652.5
Winfield,108,8.6,0.322,0.401,461.0
Winston-Salem,1422,5.966666666666666,0.26260000000000006,0.4396666666666666,728.1666666666666
Winter Haven,1852,11.7,0.13699999999999998,0.514,4411.0
Winter Park,18,2.9,0.33299999999999996,0.43799999999999994,20.0
Winthrop,274,4.2,,0.419,1114.0
Woodbridge,253,5.9,0.371,0.474,1019.0
Worcester,225,2.466666666666667,0.127,0.4116666666666667,210.66666666666666
Wyoming,735,11.2,0.042,0.489,5582.0
Yazoo City,80,2.8,0.33299999999999996,0.41,93.0
Yonkers,23,2.4,0.14300000000000002,0.359,34.0
Youngstown,67,9.0,0.29,0.33799999999999997,158.0
Ypsilanti,50,3.4,0.188,0.395,51.0
Zachary,143,3.6,0.27399999999999997,0.405,347.0
Zanesville,714,17.4,0.384,0.43700000000000006,2278.0
