name,Average of FGA,Average of 3P%,Average of TRB,Average of BLK,Average of PTS
Pau Gasol,871.3888889,0.302666667,624.7222222,107.6666667,1158.111111
Paul Davis,54.75,0,39.5,3.75,54.25
Paul George,957.4444444,0.374,400.2222222,28.33333333,1215.777778
Paul Grant,23,,17,1,25
Paul McPherson,216,0.167,79,4,262
Paul Millsap,759.3076923,0.263923077,517.8461538,72.61538462,990.9230769
Paul Pierce,1042.294118,0.367,401.2941176,37.23529412,1422.294118
Paul Shirley,12.66666667,0,6.333333333,0.333333333,11
Paul Zipser,227.5,0.3345,128,15.5,229
Pavel Podkolzin,1,,4.5,0.5,2
Peja Stojakovic,875.3636364,0.404727273,305.7272727,8.363636364,1124.363636
Pepe Sanchez,16.5,0,10.5,0.5,10
Pero Antic,295,0.314,199,13,354
Perry Jones,154.6666667,0.198,84,11,162.6666667
Pervis Ellison,7,,12,2,6
Peter John Ramos,10,,4,1,11
Peyton Siva,57,0.28,14,1,54
Phil Pressey,168.3333333,0.244,72,5,155.6666667
Pierre Jackson,39,0.273,9,0,35
PJ Dozier,4,0.5,2.5,0,4.5
Popeye Jones,181.25,0.2655,214.5,7,192.25
Pops Mensah-Bonsu,39,0,45,3.5,45.25
Predrag Drobnjak,531.25,0.25275,243.25,29.25,546.75
Predrag Savovic,93,0.154,25,1,83
Primoz Brezec,254.25,0.111,165.875,16.75,306.5
Quentin Richardson,566.1538462,0.339615385,282,11.38461538,617.8461538
Quincy Acy,185.7142857,0.316428571,165,18.71428571,232.2857143
Quincy Douby,190.3333333,0.296,50.66666667,7,196
Quincy Lewis,95.33333333,0.309,32.33333333,7,94.66666667
Quincy Miller,102,0.162,56.33333333,12.33333333,98.33333333
Quincy Pondexter,189.7142857,0.320857143,89.71428571,7,225.1428571
Quinn Cook,189,0.430666667,59.33333333,1.333333333,230.6666667
Quinton Ross,260.5714286,0.206285714,135.2857143,18.42857143,266.1428571
Qyntel Woods,155.25,0.348333333,96.25,7,172.75
R.J. Hunter,39.66666667,0.172,14.33333333,1.333333333,38.66666667
Raef LaFrentz,471.625,0.275375,336.375,90.25,564.75
Rafael Araujo,128.3333333,0.1665,131.6666667,5.333333333,129.6666667
Rafer Alston,629.6,0.3491,186.8,10.5,673.9
Raja Bell,495.75,0.388166667,164,10.83333333,583.1666667
Rajon Rondo,575.0769231,0.287769231,292.9230769,8.153846154,635.4615385
Rakeem Christmas,22.5,,28.5,3,31.5
Ramon Sessions,503.5454545,0.290272727,167.2727273,4.727272727,649.1818182
Randolph Morris,30.5,,26,1.75,35
Randy Brown,93.66666667,0,41.66666667,4.333333333,88
Randy Foye,613.6363636,0.361454545,153.2727273,20,702.6363636
Randy Holcomb,1,,1,0,2
Randy Livingston,18.14285714,0.1875,7.142857143,0.571428571,17
Rashad McCants,536,0.34475,126.5,15.25,619.75
Rashad Vaughn,159.3333333,0.330666667,52.66666667,9.666666667,141
Rashard Lewis,847.2142857,0.374857143,362.2857143,36,1061.285714
Rasheed Wallace,898.8181818,0.337090909,490.6363636,99.81818182,1030.545455
Rasho Nesterovic,467.6,0.047571429,375.6,84.9,504
Rasual Butler,437.3846154,0.358230769,148.7692308,31.38461538,468.6153846
Ratko Varda,3,,1,0,5
Raul Lopez,326,0.369,97,2.5,366.5
Raul Neto,182.5,0.36375,57,2.75,213.25
Rawle Alkins,4,1,3,0,3
Rawle Marshall,74.5,0.2775,30,6,85
Ray Allen,1046.285714,0.404071429,283.5714286,14,1366.857143
Ray McCallum,305.3333333,0.345333333,102,9,306.6666667
Ray Spalding,0,,0,0,0
Raymond Felton,707.1428571,0.315785714,203.8571429,14.64285714,770.0714286
Reece Gaines,49.33333333,0.195333333,17.66666667,1,41
Reggie Bullock,216.6666667,0.378166667,79.5,4.333333333,260
Reggie Evans,183,0.142857143,443.4615385,8.846153846,253
Reggie Hearn,2,0.5,0,0,3
Reggie Jackson,677.25,0.303875,183.25,7.25,773.625
Reggie Miller,807.8,0.37,204,9,1097.4
Reggie Slater,80,,75.33333333,3.666666667,118.6666667
Reggie Williams,187.5714286,0.334571429,70.42857143,1.857142857,228.2857143
Renaldo Balkman,120.1666667,0.212666667,128.1666667,17.33333333,149
Renaldo Major,10,,2,0,5
Richard Hamilton,975.6153846,0.342923077,209.4615385,9.615384615,1159.153846
Richard Jefferson,653.0588235,0.349588235,277.6470588,20.41176471,876.7058824
Richaun Holmes,271.5,0.220666667,213,43.25,378
Richie Frahm,108.25,0.34175,41,2.5,125.5
Rick Brunson,136.3333333,0.431166667,59,2.833333333,140
Rick Fox,514.5,0.33175,284.75,17,574
Ricky Davis,802.3,0.4187,238.3,17.2,947.6
Ricky Ledo,56.5,0.3725,19,0.5,54.5
Ricky Rubio,538.5,0.3175,248.875,8.125,646.625
Rob Kurz,131,0.395,81,19,157
Robbie Hummel,174.5,0.337,133,5.5,189.5
Robert Archibald,26.5,,34.5,3,25.5
Robert Covington,568.6666667,0.361833333,300.3333333,43.16666667,692.5
Robert Hite,60,0.217,16,2,51
Robert Horry,337.625,0.339875,301.125,53,377.875
Robert Pack,168.75,0.212333333,57.25,0.5,183.75
Robert Sacre,182.25,0,148.25,27.5,196.75
Robert Swift,85,,94,21.5,104
Robert Traylor,290.2,0.3466,268.6,47.4,333.8
Robert Whaley,57,,43,8,49
Robert Williams,35,,55,29,58
Robin Lopez,464.3636364,0.081714286,349.9090909,79.90909091,585.4545455
Rod Strickland,363.4,0.2824,129.8,7,404.4
Rodions Kurucs,196,0.355,101,9,261
Rodney Buford,344.75,0.24475,137.5,5.75,331.25
Rodney Carney,319.8,0.353,117.6,20,355.6
Rodney Hood,627,0.3706,168.2,11,734.6
Rodney McGruder,295.6666667,0.380333333,150.3333333,9.666666667,327.6666667
Rodney Purvis,107,0.25,27,3,96
Rodney Rogers,608.4,0.3236,304.6,30.8,675.2
Rodney Stuckey,687,0.284,191.2,9.4,818.5
Rodney White,363.75,0.31,121.25,16.25,385
Rodrigue Beaubois,285.75,0.3225,84.5,13,321.5
Roger Mason,293.3,0.3658,89.7,7.5,328.9
Roger Powell,3,0,3,0,2
Roko Ukic,177,0.2135,39,1,170.5
Ron Baker,98.66666667,0.225666667,46.33333333,5,100
Ron Harper,271,0.264,166,25,307
Ron Mercer,574.2,0.2136,131.4,12.2,565
Ronald Dupree,85,0.236,56.5,4.833333333,92.5
Ronald Murray,545,0.26075,125.75,12.5,602.125
Rondae Hollis-Jefferson,427,0.24825,315.25,31.5,531.25
Ronnie Brewer,396.125,0.20775,178.375,15,492.5
Ronnie Price,165,0.278833333,54.83333333,4.666666667,167.9166667
Ronny Turiaf,160.7,0,175.7,59.3,220.9
Roshown McLeod,332,0.091,120,8,337
Roy Hibbert,626.7777778,0.164285714,463.6666667,127.3333333,734.5555556
Royal Ivey,153.1,0.3313,55.7,3.8,164.1
Royce O'Neale,222.5,0.3765,187,13,267
Royce White,1,,0,0,0
Ruben Boumtje-Boumtje,12.66666667,,19,5.666666667,14.33333333
Ruben Garces,22,,29,2,16
Ruben Patterson,558.5,0.11725,279.125,25.75,743.25
Ruben Wolkowyski,41.5,0,23.5,9,40
Rudy Fernandez,463.25,0.354,152,10,563.5
Rudy Gay,962.0769231,0.350230769,382.5384615,51.92307692,1153.076923
Rudy Gobert,384.1666667,0,635.1666667,133,650.6666667
Russ Smith,23.5,0.191,7.5,0.5,26.5
Russell Westbrook,1314.454545,0.295272727,483.7272727,20.72727273,1628.272727
Rusty LaRue,94,0.67,26,3.5,98.5
Ryan Anderson,592.4545455,0.364818182,308.8181818,19.72727273,726.2727273
Ryan Arcidiacono,126,0.34,65.5,1,162.5
Ryan Bowen,119.4444444,0.228166667,105.1111111,13.88888889,132
Ryan Broekhoff,35,0.333,15,2,43
Ryan Gomes,531.125,0.283375,279.875,9.75,615.75
Ryan Hollins,117.7,0,114,27.1,191.3
Ryan Humphrey,75.66666667,0,63,6.333333333,65.66666667
Ryan Kelly,214.25,0.30225,126,21,245.25
Ryan Reid,5,,2,0,8
Salah Mejri,93.5,0.08325,176.25,41.25,145.75
Salim Stoudamire,365.6666667,0.360666667,71.33333333,3.333333333,420
Sam Cassell,964.625,0.330125,245.25,11.375,1181.875
Sam Dekker,209,0.273666667,136.25,8.5,246
Sam Jacobson,18,,6,0,20
Sam Mack,49,0.25,14,1,40
Sam Mitchell,258,0.2475,102.5,7,264.5
Sam Perkins,226,0.345,168,18,242
Sam Young,316.5,0.2845,143.25,14.25,359
Samaki Walker,170.5,0.111,204.1666667,33.83333333,201.3333333
Samardo Samuels,177.3333333,0,122,13.66666667,212.6666667
Samuel Dalembert,414.8461538,0.111111111,534,118.9230769,524.1538462
Sarunas Jasikevicius,375.5,0.351,111,2.5,466.5
Sasha Kaun,17,,26,5,23
Sasha Pavlovic,265.1,0.3411,100,9.8,278.7
Sasha Vujacic,275.7,0.364,109.3,3.4,309.4
Scot Pollard,165.5,0,223.875,33.125,204.875
Scott Burrell,15,0.333,3,0,17
Scott Machado,6,0,1,0,8
Scott Padgett,216.8571429,0.392142857,162.7142857,11.14285714,250.5714286
Scott Williams,219.4,0.1834,185.6,21.6,221.8
Scottie Pippen,483,0.3015,250,26,551.25
Scotty Hopson,2.5,0,0,0,1
Sean Colson,24,0.2,6,0,15
Sean Elliott,339,0.426,170,25,409
Sean Kilpatrick,285.2,0.3412,90.8,3.2,351
Sean Lampley,74.5,0,47,2,101.5
Sean Marks,62.66666667,0.207142857,55.33333333,9.555555556,68.77777778
Sean May,177,0.41675,120.25,11.75,205.25
Sean Rooks,259.25,0.166666667,185,34.75,266.75
Sean Singletary,85,0.4,35,0,90
Sean Williams,112,0,118,40.5,145.25
Sebastian Telfair,395.3,0.3072,89.8,7.5,418.3
Semaj Christon,223,0.19,87,7,183
Semi Ojeleye,146.5,0.2995,108.5,3,154.5
Semih Erden,92.5,,95,14.5,131
Serge Ibaka,716.1,0.3323,518.8,158,883.8
Sergei Monia,87,0.265,52,5,77
Sergey Karasev,81,0.268,46.66666667,1.333333333,95.66666667
Sergio Rodriguez,330.2,0.3234,105,2.6,349.4
Seth Curry,226,0.4722,58.6,2.8,286
Shabazz Muhammad,397.6,0.3102,154,4.8,500.8
Shabazz Napier,275.4,0.3614,91.6,6,324.2
Shai Gilgeous-Alexander,332,0.371,118,27,414
Shake Milton,32,0.412,15,3,37
Shammond Williams,291.6,0.3776,93.2,2.8,332.8
Shandon Anderson,401.1666667,0.2725,221.6666667,18.66666667,470.6666667
Shane Battier,524.5384615,0.380923077,314,69.69230769,646.7692308
Shane Edwards,3,,2,0,2
Shane Heal,24,0.222,4,0,22
Shane Larkin,322.5,0.33475,122.5,6,349.75
Shannon Brown,317.1111111,0.300333333,84.44444444,10,346.4444444
Shaquille Harrison,159,0.243,79.5,9.5,178.5
Shaquille O'Neal,840.6363636,0,589.4545455,117.8181818,1264.454545
Shareef Abdur-Rahim,848,0.266428571,488,42.625,1111.25
Sharrod Ford,3,,3,1,4
Shaun Livingston,309.4285714,0.155538462,138.3571429,21.42857143,365
Shavlik Randolph,35.875,0.5,45.375,4.75,42.5
Shawn Bradley,271.8,0.04175,329.4,119.8,353.4
Shawn Kemp,441.6666667,0.121333333,332.6666667,29.66666667,477.3333333
Shawn Long,109,0.368,85,9,148
Shawn Marion,972.3333333,0.294533333,651.2666667,78.66666667,1145.333333
Shawne Williams,230.2857143,0.295142857,135,22.28571429,252.7142857
Shawnelle Scott,58,,76.5,6,62.5
Shayne Whittington,26.5,0.0835,20.5,1.5,34
Shelden Williams,212.6666667,0.125,260.3333333,27.33333333,269.6666667
Sheldon Mac,75,0.233,34,2,90
Shelvin Mack,330.125,0.330125,108.75,2.875,361.75
Sherman Douglas,303,0.2,74,4,338
Sherron Collins,25,0.2,5,0,17
Sim Bhullar,2,,1,1,2
Sindarius Thornwell,129.5,0.251,82,13.5,156.5
Skal Labissiere,234.3333333,0.342666667,156.6666667,21.33333333,281.6666667
Slavko Vranes,1,,0,0,0
Smush Parker,425.8,0.303,131.8,8.8,493.8
Solomon Alabi,25.5,,30.5,5.5,19.5
Solomon Hill,250.3333333,0.3015,159,11.83333333,287.3333333
Solomon Jones,80.625,0.1,81.75,19.25,104.875
Sonny Weems,276.5,0.1945,100.5,7,297.25
Soumaila Samake,36,,38,9.5,34
Speedy Claxton,393.2857143,0.161166667,118.5714286,5.714285714,442.2857143
Spencer Dinwiddie,379.4,0.271,119.8,12.6,478.6
Spencer Hawes,536.3,0.3097,389.3,65.2,593.2
Stacey Augmon,228.8333333,0.03575,138.1666667,11.83333333,256.8333333
Stanislav Medvedenko,187.2857143,0.25,106.2857143,6,198.5714286
Stanley Johnson,454.5,0.28825,220,15,457.75
Stephane Lasme,71,,53,22,83
Stephen Curry,1115.5,0.4392,292.9,14.1,1537.6
Stephen Graham,141.3333333,0.305666667,70.66666667,3.166666667,161
Stephen Jackson,793.7142857,0.304857143,237.7142857,22.64285714,926.8571429
Stephen Zimmerman,31,,35,5,23
Stephon Marbury,1001.777778,0.319888889,191.1111111,8,1234
Sterling Brown,180.5,0.3575,119,8,199.5
Steve Blake,395.7692308,0.379,139.6923077,4.846153846,435.5384615
Steve Francis,893.75,0.322375,350.75,24.25,1132.25
Steve Goodrich,14,0.333,13,1.5,12
Steve Kerr,210.6666667,0.406,51.66666667,1.666666667,249.6666667
Steve Nash,818.2857143,0.421071429,227.4285714,6.642857143,1120.5
Steve Novak,156.0909091,0.405090909,53.72727273,3.454545455,197.9090909
Steve Smith,460.4,0.3868,142,12.2,606.4
Steven Adams,470,0,517.8333333,70.16666667,674.1666667
Steven Hill,1,,3,0,2
Steven Hunter,164.125,0,158,52.75,227.125
Steven Smith,8,,6,0,5
Stromile Swift,402.5555556,0.138888889,281.6666667,75.88888889,509.1111111
Sun Yue,11,0,0,1,6
Sundiata Gaines,152.6666667,0.282333333,58.33333333,1,169.3333333
Sviatoslav Mykhailiuk,92,0.344,19,0,93
T.J. Ford,527.875,0.2635,166.375,6.875,599.625
T.J. Leaf,98.5,0.3145,62.5,3,112.5
T.J. McConnell,400.75,0.32575,202.5,10.75,446.5
T.J. Warren,619.6,0.3108,212.6,26,740.4
Taj Gibson,565.5,0.130142857,456.2,79.1,692.6
Tamar Slay,67.33333333,0.26,23.33333333,1.333333333,57.66666667
Tang Hamilton,19,0,18,0,20
Tarence Kinsey,137,0.367,49,0.333333333,170.3333333
Tarik Black,199.5,0.197,257.75,29,268.75
Tariq Abdul-Wahad,105.3333333,0.3,61,8.666666667,101
Taurean Green,25,0.182,10,0,27
Taurean Prince,508.3333333,0.361666667,212.3333333,25.33333333,607.6666667
Taylor Griffin,10,0,2,2,10
Tayshaun Prince,720.1428571,0.359285714,309.4285714,35.71428571,805.1428571
Terence Morris,171.3333333,0.137,125.6666667,16.33333333,157.3333333
Terrance Ferguson,170,0.3445,55.5,10,188.5
Terrance Roberson,2,0,1,0,0
Terrel Harris,55,0.1025,38.5,2.5,47.5
Terrell Brandon,749.5,0.2685,195.5,13.5,823.5
Terrence Jones,392.8,0.298,266,54,485.8
Terrence Ross,576,0.365571429,174.5714286,21.42857143,646.7142857
Terrence Williams,265.25,0.316,136.25,4.75,271.25
Terry Davis,25,,53,1,33
Terry Mills,34,0.176,21,1,25
Terry Porter,380.5,0.4195,182.5,13.5,486
Terry Rozier,417.75,0.316,209.5,10.75,437
Thabo Sefolosha,314.0769231,0.351538462,239.1538462,26.92307692,368.5384615
Thaddeus Young,829.5,0.293166667,427.0833333,29.16666667,962.0833333
Thanasis Antetokounmpo,4,0,1,0,6
Theo Pinson,20,0.091,10,0,19
Theo Ratliff,216.0909091,0,241.2727273,105.7272727,271.2727273
Theron Smith,89.5,0.375,78.5,4.5,74.5
Thomas Bryant,104,0.2165,98.5,14.5,163.5
Thomas Gardner,29.5,0.212,5.5,0.5,22.5
Thomas Robinson,272.2,0,301.4,22.2,305.6
Thomas Welsh,10,0.429,4,0,14
Thon Maker,210,0.336333333,143.6666667,32.33333333,248.6666667
Tiago Splitter,276,0.0666,254.1428571,29.85714286,402.2857143
Tibor Pleiss,25,0,15,2,24
Tierre Brown,131.5,0.231333333,41.5,1,131.75
Tim Duncan,1057.5625,0.1498125,789.0625,157.6875,1372.8125
Tim Frazier,200.4,0.3254,104.2,3.6,224
Tim Hardaway,570.3333333,0.356,114.3333333,5.333333333,617
Tim Hardaway Jr.,678.8333333,0.344,157.1666667,9.666666667,811
Tim James,32.5,0.333,21,3,28.5
Tim Ohlbrecht,3,,1,0,3
Tim Quarterman,16,0.1925,8.5,1.5,17.5
Tim Thomas,620.6,0.3776,263.3,24,730.6
Timofey Mozgov,287.625,0.144166667,278.125,47.875,384
Timothe Luwawu-Cabarrot,223.3333333,0.291,79.33333333,5.333333333,259.6666667
Tito Maddox,12,0,7,1,11
Tobias Harris,772.5,0.34125,368.75,30.375,960.625
Todd Day,118,0.377,37,7,132
Todd Fuller,35,,18,2,28
Todd MacCulloch,296,,247.3333333,46.66666667,387.6666667
Tom Gugliotta,251.4,0.2282,190.8,17,235.2
Tom Hammonds,10,,4,0,7
Tomas Satoransky,256,0.366666667,146,9.333333333,329.6666667
Toney Douglas,338.125,0.315125,109.375,3.75,376.125
Toni Kukoc,453.8333333,0.346166667,220.6666667,18,544
Tony Allen,389.0714286,0.260357143,206,24.07142857,475.2857143
Tony Battie,283.6363636,0.141909091,293.2727273,45.72727273,332.9090909
Tony Bobbitt,5,0.5,3,0,5
Tony Bradley,7,0,7,0,4
Tony Delk,501.1666667,0.352333333,156.3333333,8,550.3333333
Tony Massenburg,236.2,0.5,208.2,23.2,271.2
Tony Mitchell,8.5,0.5,13.5,1.5,14
Tony Parker,870.8888889,0.322277778,187.1111111,5.333333333,1071.722222
Tony Smith,23,0,3,0,17
Tony Snell,371.1666667,0.376333333,163.3333333,15.66666667,432.5
Tony Wroten,348.25,0.225,90.75,7,401
Tornike Shengelia,25.5,0.25,19.5,1,29.5
Torraye Braggs,20,,25.5,1,23
Torrey Craig,168.5,0.2885,141,17.5,192
Toure' Murry,67,0.417,22.5,0.5,73
Tracy McGrady,1134.333333,0.343916667,352.3333333,44.08333333,1354.916667
Tracy Murray,134.5,0.3365,40.5,4.5,138.25
Trae Young,614,0.295,138,11,704
Trajan Langdon,244.5,0.388,72,7,299
Travis Best,502.6,0.3046,139,7.6,557.4
Travis Diener,153.6,0.33,48.6,1.8,170.8
Travis Hansen,130,0.3,70,9,123
Travis Knight,77,0,73,10,62.33333333
Travis Leslie,14,,9,2,14
Travis Outlaw,428.4545455,0.3287,179.4545455,34.63636364,479.3636364
Travis Wear,140.5,0.3645,72,8,137
Tremaine Fowlkes,64.25,0.226666667,57,1.5,75.25
Trenton Hassell,386.6666667,0.233777778,202.8888889,30.22222222,415.6666667
Treveon Graham,100.3333333,0.375666667,54,2,116.3333333
Trevor Ariza,588.3333333,0.3026,315.9333333,20.33333333,692.6666667
Trevor Booker,375.375,0.212625,366.5,34.625,459.875
Trey Burke,578.8333333,0.3565,116.6666667,6.333333333,602.5
Trey Gilder,1,,1,0,2
Trey Johnson,17.33333333,0.333,6.666666667,0.333333333,19.66666667
Trey Lyles,439.75,0.33275,264.25,22.75,505.75
Trey McKinney-Jones,0,,0,0,0
Trey Thompkins,61,0.308,24,3,57
Tristan Thompson,488.125,0,594.875,49.625,635.25
Troy Bell,18,0,4,0,11
Troy Brown Jr.,52,0.364,27,1,55
Troy Caupain,4,0.5,2,0,5
Troy Daniels,260.1666667,0.419166667,57.66666667,2.333333333,307.1666667
Troy Hudson,446.625,0.343375,84,3.5,488.875
Troy Murphy,533.3333333,0.33925,475.6666667,24.5,655
Troy Williams,121,0.306666667,62.33333333,7.333333333,140.3333333
Ty Lawson,678,0.357875,188.25,6.5,872.125
Tyler Cavanaugh,76.5,0.18,64,2,91.5
Tyler Davis,1,,1,0,0
Tyler Dorsey,232.5,0.292,85.5,3,243
Tyler Ennis,190.75,0.312,62.5,4.5,194.75
Tyler Hansbrough,308,0.115714286,258.2857143,13,411.5714286
Tyler Honeycutt,17.5,0.1665,12,2,14
Tyler Johnson,452.6,0.3752,166.4,23.6,546.6
Tyler Lydon,5,0.667,5.5,0,9.5
Tyler Ulis,329.3333333,0.277,74.33333333,4,332.6666667
Tyler Zeller,375,0.08925,298.6666667,39.66666667,470.8333333
Tyreke Evans,769.3,0.31,262.7,21.4,903.3
Tyrone Corbin,38,0,13,0,20
Tyrone Hill,270,0,340,16.75,314.5
Tyrone Nesby,475.5,0.2745,245.5,21,477.5
Tyrone Wallace,186.5,0.1705,80.5,10,211.5
Tyronn Lue,437.2222222,0.393666667,102.7777778,1.111111111,509.6666667
Tyrus Thomas,327.5,0.172571429,242.25,65.625,386.625
Tyshawn Taylor,89,0.356,16.5,0.5,87
Tyson Chandler,329.5,0,574.8888889,73.33333333,524.7777778
Tyus Edney,91,0.167,24,0,106
Tyus Jones,225.5,0.326,79.5,4.25,253.75
Udonis Haslem,335.125,0.048444444,357.25,15.5625,405.625
Uros Slokar,26,0.5,14,2,38
Vander Blue,13,0.066666667,4.333333333,0,10
Vassilis Spanoulis,72,0.172,22,1,85
Vernon Macklin,35,,34,4,46
Vernon Maxwell,223,0.306,66,3,201
Viacheslav Kravtsov,30.5,,31,5,48.5
Victor Alexander,51,0,29,1,40
Victor Claver,83.66666667,0.333,59.33333333,5.333333333,86
Victor Oladipo,965.8333333,0.348166667,307.3333333,33.16666667,1162.666667
Viktor Khryapa,141.75,0.17425,123,12,160.75
Vin Baker,361.1666667,0.1042,219.3333333,29.83333333,427.3333333
Vince Carter,966.3684211,0.368368421,297.1578947,35.84210526,1165.210526
Vince Edwards,2,0.5,1,0,3
Vince Hunter,5,,3,1,6
Vincent Yarbrough,428,0.269,162,33,406
Vinny Del Negro,119,0.077,41,1.5,128
Vitaly Potapenko,212.2857143,0,194.8571429,11.71428571,248.2857143
Vitor Faverani,147,0.3,128,27,164
Vlade Divac,565,0.22775,482.6,74,698.2
Vladimir Radmanovic,431.4166667,0.359083333,232,21.91666667,489.9166667
Vladimir Stepania,216.75,0.375,264.5,27.5,229
Von Wafer,154.6666667,0.215,39,3.166666667,175.6666667
Vonteego Cummings,352,0.2985,94.5,9.5,337.5
Voshon Lenard,595.6666667,0.357,146.5,13.33333333,656.8333333
Wade Baldwin,54,0.407333333,21,3.333333333,56.66666667
Walker Russell,95,0.308,26,1,84
Wally Szczerbiak,724.8888889,0.406777778,258.8888889,15.22222222,927.7777778
Walt Lemon Jr.,16,1,2,1,17
Walt Williams,416.6666667,0.398333333,204.6666667,21.33333333,470.6666667
Walter Herrmann,227,0.372,106.3333333,4,273
Walter McCarty,263.5,0.341833333,157,14,299
Walter Sharpe,11,0,3,2,8
Wang Zhizhi,102.2,0.3414,46.2,7,120.8
Wayne Ellington,438.6,0.3795,135.1,4.5,489.8
Wayne Selden,169,0.325333333,40.66666667,4,197
Wayne Simien,71.5,,49.5,0.5,84.5
Wendell Carter Jr.,371,0.188,307,58,455
Wesley Iwundu,178.5,0.237,102.5,9.5,193.5
Wesley Johnson,442.4444444,0.336333333,211.7777778,44.11111111,466.3333333
Wesley Matthews,767.2,0.384,215.7,13.7,955.1
Wesley Person,475.4,0.4284,163.2,16,563.8
Will Barton,506.1428571,0.328142857,221.1428571,22.42857143,597.2857143
Will Blalock,30,0.2,15,0,25
Will Bynum,316.125,0.22475,70.125,3.625,365.125
Will Cherry,19,0.222,5,1,15
Will Conroy,7.333333333,0,3.666666667,0,2.333333333
Will Perdue,9,,18,2,14
Will Solomon,288,0.305,66,5.5,292
William Avery,117,0.221,26.5,2,112.5
Willie Cauley-Stein,521,0.3125,398.25,51.5,650.75
Willie Green,473.5,0.358333333,108.5833333,9,504.9166667
Willie Reed,179.6666667,0.375,191.6666667,33,250.3333333
Willie Warren,35,0.333,12,0,37
Willy Hernangomez,271.6666667,0.382,290,21.33333333,366.3333333
Wilson Chandler,644.5454545,0.332909091,304.0909091,35.81818182,739.4545455
Xavier Henry,181.4,0.31,70.2,4.6,210
Xavier Munford,41.5,0.1955,16,1.5,41.5
Xavier Rathan-Mayes,42,0.071,5,3,29
Xavier Silas,9,0.0835,3,0,5.5
Yakhouba Diawara,163.25,0.2715,64.5,4,163.75
Yao Ming,805.625,0.25,561.75,115,1155.875
Yaroslav Korolev,23,0.243,8,0,19.5
Yi Jianlian,402.4,0.3052,267.8,36.8,429.6
Yogi Ferrell,429.3333333,0.376,136.3333333,7,500.3333333
Yuta Tabuse,6,1,4,0,7
Yuta Watanabe,7,0,6,1,8
Zabian Dowdell,125,0.3,20,2,121
Zach Collins,265.5,0.3175,207.5,35,307
Zach LaVine,677.2,0.3628,172,11.6,820
Zach Lofton,1,0,0,0,0
Zach Randolph,927.8823529,0.215625,600.4705882,17.70588235,1092.823529
Zan Tabak,186,,213,30,216
Zarko Cabarkapa,182.6666667,0.266333333,104,8.333333333,213.3333333
Zaza Pachulia,341.75,0,387,23.0625,455.5
Zeljko Rebraca,185.2,,137.6,32,255.2
Zendon Hamilton,66.66666667,,77.33333333,4.666666667,97.5
Zhou Qi,16.5,0.105,11,7,12
Zoran Dragic,30,0.214,8,0,28
Zoran Planinic,162,0.296,66,2.333333333,187
Zydrunas Ilgauskas,719,0.130454545,493.0909091,107.7272727,887.3636364
Grand Total,416.2642194,0.281961758,214.8410378,24.87593474,504.1835486
